temperature,ResidenceTime,eqEster,eqAmmonia,peakArea
135.0,6.0,5.0,16.0,23.35642651
30.0,10.0,2.0,16.0,17.06367672
30.0,4.0,5.0,8.0,14.02777778
140.0,3.0,2.5,5.0,13.68055556
110.0,17.0,3.0,4.0,22.91958682
130.0,7.0,2.0,14.0,16.8682946
35.0,10.0,4.5,5.0,14.00883838
55.0,13.0,4.5,8.0,23.42824866
105.0,18.0,2.0,8.0,24.47911681
65.0,20.0,4.5,4.0,21.09417806
140.0,20.0,6.0,16.0,21.58587529
140.0,20.0,2.0,16.0,11.48693378
140.0,20.0,6.0,4.0,27.58317605
135.0,20.0,6.0,4.0,30.78992492
140.0,20.0,6.0,5.0,20.98764762
30.0,20.0,6.0,16.0,15.74576256
140.0,2.0,6.0,4.0,10.0
140.0,20.0,2.0,4.0,15.24840233
30.0,20.0,6.0,4.0,10.0
135.0,20.0,6.0,16.0,24.8046747
140.0,20.0,6.0,15.0,22.03002538
140.0,2.0,6.0,16.0,18.01023337
135.0,20.0,2.0,16.0,12.68475108
140.0,20.0,6.0,5.0,24.91139339
95.0,14.0,6.0,16.0,35.3387453
30.0,2.0,6.0,16.0,10.0
95.0,13.0,6.0,16.0,36.18592435
95.0,16.0,6.0,16.0,35.64414148
95.0,12.0,6.0,16.0,35.10649153
95.0,18.0,6.0,16.0,35.90451446
95.0,19.0,6.0,16.0,51.22958404849271
80.0,2.0,2.0,16.0,24.45244315620902
90.0,2.0,6.0,4.0,12.272727272727273
75.0,20.0,2.0,16.0,44.66856131742609
75.0,20.0,6.0,16.0,56.654833102281856
70.0,20.0,6.0,16.0,57.43487306963869
65.0,20.0,6.0,16.0,57.069713530284886
70.0,19.0,6.0,16.0,56.81993343705992
